22	12	60
110	110	110	110	110	110	110	110	110	110	110	110	110	110	110	110	110	110	110	110	110	110	
110	37	30	0	0	4	4	4	44	44	0	0	0	0	10	11	10	0	31	30	30	110	
110	30	0	27	0	4	34	4	4	44	0	30	30	31	10	11	10	0	0	30	30	110	
110	0	17	7	0	4	34	34	4	4	0	30	30	0	10	11	10	0	0	30	30	110	
110	0	0	0	47	4	4	4	3	4	45	0	0	0	10	11	10	0	0	0	0	110	
110	3	3	3	3	3	4	3	3	4	44	0	2	0	10	11	10	0	4	44	0	110	
110	43	3	3	3	3	3	4	3	3	4	44	0	0	10	11	10	0	44	4	0	110	
110	43	43	43	33	3	3	3	3	3	0	45	0	1	32	11	10	46	0	0	0	110	
110	43	3	43	3	3	33	33	3	3	0	0	31	0	32	11	10	0	6	26	0	110	
110	3	43	43	3	3	33	3	3	42	42	42	31	0	32	11	10	0	16	0	30	110	
110	3	43	3	43	3	3	3	42	42	42	0	0	0	10	11	10	0	0	30	36	110	
110	110	110	110	110	110	110	110	110	110	110	110	110	110	110	110	110	110	110	110	110	110	
